nick_a,nick_b,games,a_wins,b_wins,draws,p_a_wins,ci_lower,ci_upper,uncertainty
wbcuida,wbckremufka,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcuida,wbcmatiss,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcvotocek,wbc1211,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcvotocek,wbcg3m,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcvotocek,wbcgenghis,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcvotocek,wbcmichi,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcvotocek,wbcnguyenminh,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcvotocek,wbcplayer,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcwonderwall,wbcciaran,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcwonderwall,wbccsaba,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcwonderwall,wbckaktuszka,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcwonderwall,wbctorpe,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcwonderwall,wbczoli,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcyu20,wbcashot,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcyu20,wbckremufka,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcyu20,wbcmatiss,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbczoli,wbca,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbczoli,wbcc,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbczoli,wbcd,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
